Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
01497;Les Ardoines;Les Ardoines;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Les Ardoines;94400;Vitry-sur-Seine;94-081;Val-de-Marne;Île-de-France;2.409046;48.782945;0087492108;LAD;b;;;;;48.782945, 2.409046
01940;Montfort-l'Amaury - Méré;Montfort-l'Amaury - Méré;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Montfort-l'Amaury - Méré;78490;Méré;78-389;Yvelines;Île-de-France;1.8153507;48.80224;0087393892;MLM;b;;;;;48.80224, 1.8153507
01946;Petit Vaux;Petit Vaux;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Petit Vaux;91360;Épinay-sur-Orge;91-216;Essonne;Île-de-France;2.3339755;48.675859;0087393652;PVY;b;;;;;48.675859, 2.3339755
01949;Plaisir - Les Clayes;Plaisir - Les Clayes;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Plaisir - Les Clayes;78370;Plaisir;78-490;Yvelines;Île-de-France;1.9600537;48.8304565;0087393629;PIE;b;;;;;48.8304565, 1.9600537
01954;Massy - Palaiseau;Massy - Palaiseau;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Massy - Palaiseau;91300;Massy;91-377;Essonne;Île-de-France;2.2575281;48.7264211;0087393579;MPU;b;;;;;48.7264211, 2.2575281
01957;Bièvres;Bièvres;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Bièvres;91570;Bièvres;91-064;Essonne;Île-de-France;2.2157279;48.7513289;0087393546;BSI;b;;;;;48.7513289, 2.2157279
01968;Plaisir - Grignon;Plaisir - Grignon;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Plaisir - Grignon;78370;Plaisir;78-490;Yvelines;Île-de-France;1.9432973;48.8316509;0087393421;PGS;b;;;;;48.8316509, 1.9432973
01969;Villepreux - Les Clayes;Villepreux - Les Clayes;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Villepreux - Les Clayes;78340;Clayes-sous-Bois;78-165;Yvelines;Île-de-France;1.9930652;48.8239168;0087393413;VEP;b;;;;;48.8239168, 1.9930652
01970;Fontenay-le-Fleury;Fontenay-le-Fleury;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Fontenay-le-Fleury;78330;Fontenay-le-Fleury;78-242;Yvelines;Île-de-France;2.0404603;48.8074032;0087393405;FAF;b;;;;;48.8074032, 2.0404603
01993;Pont de l'Alma;Pont de l'Alma;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Pont de l'Alma;75007;Paris;75-056;Paris;Île-de-France;2.3010287;48.8625705;0087393041;PDM;b;;;;;48.8625705, 2.3010287
01999;Paris Montparnasse;Paris Montparnasse;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;UG Montparnasse;;2;2;Paris Montparnasse Vaugirard;75015;Paris;75-056;Paris;Île-de-France;2.320514;48.841172;0087391102;PVT;a;;;;;48.841172, 2.320514
02009;Les Mureaux;Les Mureaux;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Les Mureaux;78130;Mureaux;78-440;Yvelines;Île-de-France;1.9129871;48.9927897;0087386680;LMU;b;;;;;48.9927897, 1.9129871
